;Apache HTTPD;Nginx;Varnish;Apache TS;Wingate;Squid
max-age;ok;fail;fail;fail;ok;ok
max-stale;ok;fail;fail;ok;fail;fail
no-store;ok;fail;fail;fail;fail;fail
min-fresh;ok;fail;fail;ok;ok;fail
only-if-cached;ok;fail;fail;fail;fail;ok
no-cache;fail;fail;fail;fail;fail;fail
